Rk,Player,Contract Worth,Pos,FT%,FG%,APG,PPG,3P%,RPG,Total,min,max,mean
5,Keegan Murray,0.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
8,A.J. Griffin,0.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
19,Ousmane Dieng,0.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
20,Kendall Brown,0.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
25,Marjon Beauchamp,0.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
30,Christian Braun,0.0,SF,3.0,3.0,3.0,3.0,3.0,3.0,18.0,8726306.0,33064628.0,18893687.0
15,Jeremy Sochan,0.0,SF,1.0,3.0,3.0,3.0,3.0,3.0,16.0,9161694.0,24855194.0,14465590.0
29,Patrick Baldwin Jr,0.0,SF,3.0,1.0,3.0,3.0,3.0,3.0,16.0,9161694.0,24855194.0,14465590.0
